Episode,Final_Wealth,Final_Health,Final_Age,Total_Reward,Work_Count,Invest_Count,Rest_Count
0,13.925519,0.0,70.0,8.000000000000004,0,50,0
1,8.468578,0.0,70.0,5.200000000000002,0,50,0
2,3.5667193,0.0,70.0,1.5999999999999999,0,50,0
3,11.345889,0.0,70.0,6.400000000000003,0,50,0
4,8.60686,0.0,70.0,5.200000000000002,0,50,0
5,8.384079,0.0,70.0,4.800000000000002,0,50,0
6,8.433079,0.0,70.0,5.200000000000002,0,50,0
7,7.6043053,0.0,70.0,4.400000000000001,0,50,0
8,9.177024,0.0,70.0,5.600000000000002,0,50,0
9,4.4499545,0.0,70.0,1.9999999999999998,0,50,0
10,9.46186,0.0,70.0,6.000000000000003,0,50,0
11,3.2892623,0.0,70.0,3.2000000000000006,0,50,0
12,8.57736,0.0,70.0,5.200000000000002,0,50,0
13,7.0206695,0.0,70.0,4.400000000000001,0,50,0
14,11.55214,0.0,70.0,6.800000000000003,0,50,0
15,-3.2981043,0.0,70.0,0.39999999999999997,0,50,0
16,4.5431805,0.0,70.0,2.4,0,50,0
17,11.997308,0.0,70.0,6.800000000000003,0,50,0
18,7.1966095,0.0,70.0,4.000000000000001,0,50,0
19,5.062176,0.0,70.0,3.2000000000000006,0,50,0
20,6.6064725,0.0,70.0,4.400000000000001,0,50,0
21,8.574345,0.0,70.0,4.800000000000002,0,50,0
22,2.5061085,0.0,70.0,1.5999999999999999,0,50,0
23,8.743409,0.0,70.0,5.200000000000002,0,50,0
24,7.1704316,0.0,70.0,4.800000000000002,0,50,0
25,6.2639694,0.0,70.0,3.600000000000001,0,50,0
26,8.767074,0.0,70.0,5.200000000000002,0,50,0
27,4.8456836,0.0,70.0,2.8000000000000003,0,50,0
28,7.6870794,0.0,70.0,4.000000000000001,0,50,0
29,11.006554,0.0,70.0,6.800000000000003,0,50,0
30,6.8870664,0.0,70.0,3.2000000000000006,0,50,0
31,6.583518,0.0,70.0,4.400000000000001,0,50,0
32,9.682468,0.0,70.0,5.600000000000002,0,50,0
33,8.136,0.0,70.0,4.800000000000002,0,50,0
34,8.067036,0.0,70.0,5.600000000000002,0,50,0
35,11.132,0.0,70.0,6.800000000000003,0,50,0
36,5.388304,0.0,70.0,2.4,0,50,0
37,4.0959473,0.0,70.0,1.9999999999999998,0,50,0
38,11.8289795,0.0,70.0,6.800000000000003,0,50,0
39,5.0630307,0.0,70.0,3.2000000000000006,0,50,0
40,7.91722,0.0,70.0,4.400000000000001,0,50,0
41,6.320268,0.0,70.0,3.600000000000001,0,50,0
42,3.4126923,0.0,70.0,3.2000000000000006,0,50,0
43,8.61052,0.0,70.0,4.800000000000002,0,50,0
44,9.679479,0.0,70.0,5.200000000000002,0,50,0
45,6.671453,0.0,70.0,3.600000000000001,0,50,0
46,7.8001175,0.0,70.0,5.200000000000002,0,50,0
47,7.629027,0.0,70.0,5.200000000000002,0,50,0
48,8.407648,0.0,70.0,4.800000000000002,0,50,0
49,2.880675,0.0,70.0,2.4,0,50,0
50,3.979988,0.0,70.0,2.4,0,50,0
51,7.3601494,0.0,70.0,4.400000000000001,0,50,0
52,4.137919,0.0,70.0,2.4,0,50,0
53,6.1660132,0.0,70.0,3.2000000000000006,0,50,0
54,5.0501575,0.0,70.0,3.600000000000001,0,50,0
55,10.051776,0.0,70.0,6.400000000000003,0,50,0
56,5.246488,0.0,70.0,3.600000000000001,0,50,0
