days_alive,work_days,spec_days,rest_days,final_cash,final_happiness,final_health,final_reward
185,58,70,57,-1204.2297785090277,0,-0.8499999999996053,1.2957702214909723
172,59,53,60,3897.0583360573596,0,-1.2499999999996343,6.96094030735618
196,69,63,64,5953.365870401683,0,-0.4999999999997644,7.215127993520596
349,111,127,111,-1057.8857290635933,0,-1.3499999999997871,0.9421142709364068
257,78,97,82,-5730.971285359513,0,-0.049999999999583045,-3.230971285359513
206,71,64,71,8806.001576156386,0,-0.29999999999968874,7.4499813906630585
221,74,61,86,7572.267671334785,0,-0.9499999999994833,7.859427948382679
324,120,97,107,19121.61266128277,0,-0.699999999999529,8.415176093640898
310,88,111,111,-8838.85122325811,0,-1.1999999999998414,-6.838851223258111
318,109,100,109,13605.20420341416,0,-1.7999999999995464,8.210968695476788
198,74,60,64,12104.54552056716,0,-1.1499999999996662,8.140851360447355
241,87,86,68,3419.626697304416,0,-0.049999999999940536,7.382547434857132
302,99,96,107,8675.726246363058,0,-1.699999999999914,7.941039745572528
194,68,69,57,2042.0842244654832,0,-2.199999999999479,7.073329491906555
158,65,51,42,11764.327754594398,0,-0.9999999999996076,7.623747295530492
142,42,43,57,170.8336047709984,0,-0.3999999999998354,5.087915956666575
145,55,47,43,6725.940413214446,0,-1.4499999999997613,7.288325420079273
158,53,48,57,3295.9040384488667,0,-0.09999999999978937,6.860443482158294
245,82,77,86,7767.625923397229,0,-0.44999999999966467,7.374709150332414
298,91,113,94,-2478.1184295351327,0,-0.7499999999992624,0.021881570464867384
167,52,60,55,-2434.8699209315464,0,-1.4499999999998014,-0.4348699209315465
213,71,72,70,656.6450462619961,0,-1.9499999999998736,6.393199205441541
151,52,45,54,4640.660803704049,0,-0.24999999999971578,7.565696507806452
228,69,82,77,-6615.402282200333,0,-2.1499999999996358,-4.615402282200333
181,68,54,59,10142.955834164592,0,-0.6999999999996345,7.534779993667982
146,50,45,51,3143.2525387932346,0,-0.7999999999997784,6.831998884620166
262,86,83,93,7857.934557435843,0,-1.9499999999997009,7.881643794247664
318,110,107,101,11767.311795523558,39,-0.09999999999982818,9.293899454278677
199,66,65,68,1940.4813714630266,0,-1.0999999999996843,7.0427239325234785
132,50,39,43,6400.663448936913,0,-0.9999999999997773,7.258587889683435
149,48,48,53,-62.77215538034804,0,-0.2499999999996827,1.937227844619652
336,101,114,121,1073.9530813625029,0,-0.3999999999992383,6.688019376619059
340,114,105,121,12187.643396443718,0,-1.3499999999994468,7.64495595682979
158,58,53,47,4408.548944372868,0,-2.0499999999995433,7.034916609813415
328,108,109,111,7807.5191276715095,0,-1.249999999999933,7.377782367512628
234,70,76,88,-1734.5584922034268,0,-1.1499999999994595,0.7654415077965733
149,53,55,41,-560.443604653556,0,-0.14999999999994373,1.439556395346444
224,65,75,84,-608.9543836764681,0,-1.2999999999997605,1.3910456163235319
108,40,30,38,6021.669049787154,0,-1.3999999999997708,7.221971482278931
294,97,101,96,3126.5308461461213,10,-0.09999999999950727,7.628799463101331
132,53,45,34,7300.376783002745,0,-1.7999999999998981,7.337490925858997
125,45,40,40,3278.7014534947866,0,-0.299999999999901,6.857304606175768
201,66,61,74,3848.670321559717,0,-1.049999999999849,6.953445675710958
289,91,91,107,3850.0895855998465,0,-0.6999999999998108,6.953666837893389
197,65,67,65,-1084.6698769217355,0,-1.3999999999997557,0.9153301230782644
144,46,48,50,-1554.5920287354031,0,-1.1499999999998831,0.44540797126459686
79,32,23,24,3722.8491560531916,0,-0.6499999999998902,7.433507879009937
135,50,46,39,3015.196242439732,0,-0.4499999999997051,6.8070510764798
241,75,87,79,-1114.631222269349,0,-2.0499999999996144,1.385368777730651
171,59,50,62,7589.850841988555,0,-1.5999999999998251,7.860819378700388
241,77,73,91,4767.714162483747,0,-0.949999999999835,7.581899187957422
193,64,58,71,6185.253840715923,0,-1.9999999999996427,7.738050992267855
203,70,57,76,10616.145747877965,0,-0.19999999999985008,8.06213529802174
204,66,71,67,-1955.1761418974513,0,-0.9999999999997871,0.04482385810254863
155,47,53,55,-3763.2497858207344,0,-2.099999999999658,-1.2632497858207343
158,52,39,67,7840.5138931134625,0,-0.5999999999997818,7.380312315988837
152,52,47,53,7789.027989383603,40,-0.19999999999990653,9.076359839108349
198,73,54,71,15523.528192529371,0,-0.5999999999998378,7.790105909698788
188,64,49,75,10120.65702707905,0,-0.34999999999985376,7.533459600374924
388,120,122,146,8346.254212400228,0,-0.5999999999988976,7.417812756156749
145,52,35,58,9422.604347385542,0,-0.44999999999979146,7.9905837528989885
250,85,84,81,2665.760320419993,0,-1.599999999999511,7.233171790920797
241,79,69,93,9861.744059241935,0,-0.7499999999997502,8.017911826619304
177,63,54,60,8903.550767703315,0,-1.3499999999997256,7.456590648352057
80,33,17,30,7576.356036055626,0,-0.1499999999998849,7.859751765928337
178,75,51,52,17270.527951613007,0,-0.9999999999998526,8.354088784931966
206,68,74,64,-277.3893882711149,0,-1.0999999999996133,2.222610611728885
203,69,79,55,-1350.286760022889,0,-1.049999999999771,0.6497132399771111
560,168,183,209,14591.994550990496,0,-1.9499999999986417,8.252978120361291
91,39,21,31,9124.266400913031,0,-0.9499999999998572,7.971281423587087
202,64,65,73,1177.558365933442,10,-0.19999999999987106,7.043228348056947
325,97,122,106,-4677.836211047908,30,-0.04999999999906252,-1.7778362110479082
172,58,59,55,-1278.7014069344402,0,-1.099999999999667,0.7212985930655598
175,62,58,55,3010.4526006393935,0,-1.5499999999997982,7.306106699744564
270,90,92,88,3725.3118743725363,0,-1.9499999999994317,7.433904549911249
259,84,88,87,8293.03258132493,0,-0.9499999999995825,7.413974941459509
190,56,51,83,4793.281012078428,0,-1.349999999999838,7.58510741843873
192,56,56,80,-585.8106568953596,0,-1.6999999999994575,1.4141893431046404
186,65,58,63,10524.729425835887,10,-0.19999999999971385,8.356946776159951
237,72,83,82,-3553.238945607194,0,-0.14999999999951297,-1.5532389456071942
190,59,66,65,-2892.5760915988362,0,-0.8999999999997557,-0.3925760915988361
139,49,51,39,-353.2802678917587,0,-1.0499999999997656,1.6467197321082412
451,139,165,147,-2799.4434234987475,0,-0.5499999999997822,-0.2994434234987473
286,97,91,98,10622.354403773574,0,-1.549999999999798,7.562486061291612
378,132,143,103,12593.665900335804,0,-0.0999999999996335,7.664617197237305
196,63,64,69,2059.8566145308705,0,-1.2999999999999245,7.078526204587526
108,37,39,32,-948.467865351315,0,-0.6999999999997768,1.051532134648685
261,81,79,101,2450.143578899167,0,-1.1499999999997454,7.182585976920766
299,99,110,90,1160.9556029445498,25,-0.04999999999942402,7.484715837539909
103,44,33,26,5104.249174443592,0,-0.7499999999998579,7.622814723573288
249,84,91,74,-1144.3671741971616,0,-0.19999999999998774,1.3556328258028385
145,48,49,48,3017.2713496363713,0,-0.44999999999976303,7.307463727421432
310,104,99,107,14561.46013022221,0,-0.449999999999678,7.7517213634792945
275,99,99,77,17630.657803517115,0,-1.6999999999993394,7.866470782441429
283,102,105,76,2269.665285683324,0,-1.099999999999538,6.636696886958116
274,91,94,89,3337.7808931450613,0,-0.2999999999997922,7.368016610373344
117,39,40,38,-3020.994777617392,0,-0.09999999999977938,-0.5209947776173922
366,122,120,124,9359.560350990409,0,-2.2499999999994675,7.986556260543107
216,75,79,62,3222.530135530411,0,-1.049999999999768,7.346939412043433
173,73,52,48,16141.112325271657,0,-0.4499999999997506,8.313512085059354
150,58,45,47,8962.007378860659,0,-0.3499999999997343,7.460516656768961
106,34,33,39,-1722.3255751333033,0,-2.049999999999814,0.2776744248666967
229,74,73,82,4604.588722226614,0,-2.2499999999995155,7.561015470789863
308,95,114,99,-5346.348927476907,0,-0.19999999999949392,-2.8463489274769076
324,109,121,94,5944.350354855741,0,-0.5499999999992469,7.214218844048434
433,136,157,140,236.13008893983164,0,-0.5499999999997343,5.781165333415459
262,90,99,73,3503.5213629916343,0,-0.699999999999702,6.897085539077686
447,142,149,156,5394.391474695428,0,-0.3999999999999,7.655980262536705
208,83,64,61,13513.038132044552,0,-1.3999999999997306,7.7068905714667135
229,74,79,76,-1490.0229124211617,0,-0.04999999999960125,1.0099770875788383
176,59,62,55,-7.1961608336749645,0,-0.04999999999945115,1.992803839166325
219,69,78,72,-2832.367515048018,0,-0.2999999999997085,-0.3323675150480181
213,72,76,65,151.62272028609502,0,-1.2999999999995642,5.516781397371324
459,151,168,140,6581.480061638944,0,-1.299999999999081,7.775300117422393
214,63,78,73,-5617.690276631991,0,-0.4499999999996409,-3.6176902766319907
278,95,98,85,3433.8705220107263,0,-0.19999999999925855,7.385040706124945
306,105,104,97,4985.7484044497405,0,-0.19999999999943885,7.608723612395609
318,101,119,98,-690.8989935417816,0,-1.3499999999993273,1.8091010064582185
