days_alive,work_days,spec_days,rest_days,final_cash,final_health,final_reward
2000,861,569,570,59865.818231813224,0.0,1.109981057462256
876,489,154,233,67531.92788304889,0.0,1.111187885800475
1500,849,220,431,78056.10960959451,0.0,1.1126381395564071
204,150,21,33,26275.22533958186,-0.5,1.101725064747924
382,258,36,88,31681.515072552764,0.0,1.1036025861748293
1980,1213,140,627,120793.56179786523,0.0,1.117009182735178
2088,1295,112,681,151032.58650025722,0.0,1.119244951339522
278,206,12,60,27528.754385261862,0.0,1.102192832737316
383,275,16,92,36783.528870132664,-0.5,1.1051001012362163
24473,10343,1881,12249,3491691.39664215,0.0,1.15065768466391
996,660,44,292,79575.66658024772,0.0,1.112831186358618
274,207,11,56,29561.363652679996,-0.5,1.102907685883855
437,313,13,111,42982.03489303328,-0.5,1.106661313438026
340,244,18,78,30903.81081533073,0.0,1.1033532583568864
184,151,6,27,24818.17792864424,0.0,1.1011523426020575
204,162,9,33,26279.8901870703,-0.5,1.101726846683089
231,179,10,42,24914.65681213052,0.0,1.1011912966208017
211,170,5,36,28693.974651148925,-0.5,1.102608859286555
194,156,6,32,25333.909515153733,0.0,1.1013588322576546
393,286,11,96,40306.4241704146,-0.5,1.1060170669718823
694,472,29,193,54625.56915748946,-0.5,1.1090634319277184
1842,1123,96,623,114000.38753447072,-0.5,1.1164298824948444
312,228,15,69,30095.238531055245,-0.5,1.1030872694544334
464,332,13,119,43743.61838392133,-0.5,1.1068373504166082
216,173,5,38,25360.344469404772,-0.5,1.101369302328183
155,136,1,18,23158.93339292108,-0.5,1.1004575148107745
158,134,5,19,26181.731766637775,-0.5,1.1016892838164656
201,165,3,33,28381.69015162388,-0.5,1.1024990489603637
159,136,4,19,24686.241909847133,0.0,1.1010988256819059
183,152,4,27,23912.660420959,0.0,1.1007791425154234
158,137,2,19,23758.264218614244,0.0,1.100714096254933
218,173,6,39,28320.563652677996,0.0,1.1024774128745487
186,155,3,28,26145.812545655317,-0.5,1.101675503055178
179,151,2,26,25218.79456133292,0.0,1.1013131105314589
187,155,3,29,26135.19472913356,-0.5,1.1016714257865021
178,148,5,25,26415.640254548805,-0.5,1.101778563561999
270,211,3,56,31971.503375148557,-0.5,1.1036939864829465
234,186,4,44,27452.409465775134,0.0,1.102164961036912
205,166,5,34,25874.164692629605,-0.5,1.1015706631940043
272,209,6,57,29658.488924598983,0.0,1.103207667115223
211,168,4,39,26778.06168679655,0.0,1.1019153396417265
191,156,5,30,27255.887046066604,-0.5,1.1020928560016714
202,166,2,34,27981.471543828295,0.0,1.1023565316023138
155,136,1,18,24367.118431370247,-0.5,1.1009681836625271
201,163,5,33,25564.313710687205,0.0,1.1014497217476702
212,169,7,36,27182.91234625081,-0.5,1.1020659482970279
176,144,8,24,25109.622699997122,0.0,1.1012695553077017
244,191,6,47,26564.125114572627,0.0,1.1018348274275187
260,197,11,52,27303.700238759102,-0.5,1.1021104468134284
339,251,10,78,32427.772330503878,0.0,1.1038361259569491
614,428,16,170,51884.62536812189,-0.5,1.108547677010176
502,340,33,129,43859.333858457605,-0.5,1.1068638284514074
299,221,14,64,31314.764525847666,0.0,1.1034857820730655
234,186,4,44,27423.525879224046,0.0,1.102154396044099
271,206,9,56,29662.81476671305,-0.5,1.1029420608851441
267,203,10,54,29812.101979714706,0.0,1.1029924304342673
180,150,4,26,24918.196891901574,0.0,1.1011927230705343
132,119,3,10,22410.162055657,-0.5,1.1001274193410744
171,140,8,23,22267.444237101885,0.0,1.1000632468432698
180,150,4,26,23690.36711698466,0.0,1.100685357093193
217,170,9,38,23458.594467669005,-0.5,1.1005866265786541
178,142,12,24,22069.214430506367,0.0,1.09997342479871
229,175,13,41,28423.269516744604,-0.5,1.1025137395169262
238,188,3,47,29575.83195402941,-0.5,1.1029125954542525
219,177,3,39,28418.979133696896,-0.5,1.1025122246642598
257,198,8,51,28315.475345067574,0.0,1.1024756097256443
215,175,0,40,27907.226739348833,0.0,1.10232986830767
217,174,4,39,28622.02641257386,0.0,1.102583666422579
205,168,1,36,27681.746957614632,-0.5,1.102248453920906
174,148,1,25,24401.221151919286,-0.5,1.100982226282096
231,182,6,43,30463.981896238405,0.0,1.1032094499109277
180,152,1,27,24817.4269854038,-0.5,1.1011520388075906
161,140,1,20,23573.753080749895,-0.5,1.1006358036889914
