days_alive,work_days,spec_days,rest_days,final_cash,final_health,final_reward
177,147,3,27,25302.498228893717,-0.5,1.1013463769466898
173,147,2,24,24798.95562794398,0.0,1.101144563303641
163,138,5,20,22959.20142264286,-0.5,1.1003705232038175
184,153,3,28,25919.804519145262,-0.5,1.1015883544426157
167,143,2,22,23182.948948252844,0.0,1.1004679238039439
121,111,3,7,21589.629163378257,-0.5,1.0997527181057183
150,131,3,16,23660.72145306473,-0.5,1.1006727828669127
148,128,5,15,23139.25230744961,-0.5,1.100448976409108
149,132,1,16,22742.456736490767,-0.5,1.1002752577115666
115,108,1,6,21479.783422757435,-0.5,1.099701473686603
139,125,1,13,22018.95085909015,-0.5,1.0999505205258582
146,130,1,15,22538.835241480265,-0.5,1.1001849258124952
188,157,2,29,25835.565446171655,0.0,1.1015556766003043
188,158,1,29,26644.801858255596,-0.5,1.1018652652412715
145,130,0,15,23242.1800707945,0.0,1.1004935499596593
132,119,2,11,23119.994521766625,0.0,1.1004406145880943
149,132,0,17,23448.66039829161,0.0,1.1005823730003144
146,130,1,15,23744.91708872068,-0.5,1.1007084532638418
144,126,4,14,22435.585485642434,0.0,1.1001388077964425
131,119,2,10,20698.029231195844,0.0,1.099328987533624
128,117,2,9,22910.355419755473,0.0,1.1003491330669073
152,133,2,17,23351.99194174121,0.0,1.100540886676504
167,143,2,22,24389.680524431325,0.0,1.1009774763568974
168,143,3,22,26104.388573639626,-0.5,1.1016595867267127
181,149,6,26,23386.38217541314,0.0,1.1005556653521011
179,151,2,26,26428.999921260005,0.0,1.1017836387850248
152,129,7,16,20633.768009240554,-0.5,1.0992977425188295
131,119,2,10,20707.240467429983,0.0,1.099333458220899
137,124,1,12,21920.871739219278,-0.5,1.0999056758793353
123,113,3,7,21799.636522536206,-0.5,1.0998499642072588
130,120,0,10,22207.78866746453,0.0,1.1000363004292788
134,121,2,11,23323.250706661776,0.0,1.1005285187952145
201,164,3,34,28276.419100123083,-0.5,1.1024617584868583
200,166,1,33,27473.613685571472,-0.5,1.1021727099842729
153,129,7,17,24259.673757907967,-0.5,1.1009238113423334
127,117,1,9,21193.627746876828,-0.5,1.0995667321357874
175,147,3,25,24096.195543108453,-0.5,1.100855918425832
146,130,1,15,22540.54854849887,-0.5,1.1001856892950934
170,145,2,23,25801.850159281734,0.0,1.101542567857019
141,125,3,13,23029.788974066196,-0.5,1.1004013535646573
202,165,3,34,27170.913947262634,-0.5,1.1020615172304586
144,126,4,14,22433.449753431963,0.0,1.1001378515915337
157,135,3,19,22858.859363160078,-0.5,1.100326532791214
142,128,0,14,23035.159533249454,0.0,1.1004036953648864
161,140,1,20,23574.153218762916,-0.5,1.1006359741422311
158,137,2,19,24974.944469231094,0.0,1.1012155613694306
177,148,4,25,24701.63982318499,0.0,1.1011050862865248
187,154,5,28,25819.954354928796,-0.5,1.1015496090331969
194,156,6,32,26558.345356374146,0.0,1.101832643273258
239,186,8,45,28255.88991748892,0.0,1.1024544701429995
183,152,4,27,25121.191087512372,0.0,1.101274179629791
298,228,5,65,33546.26928799914,-0.5,1.1041762513560003
206,168,3,35,25055.05983873863,0.0,1.1012477155929976
205,163,7,35,24154.16271650143,-0.5,1.1008800451190879
280,215,6,59,29022.738639756168,0.0,1.102723176058712
493,358,5,130,44873.00569555007,-0.5,1.1070928280388366
427,314,5,108,43823.469919930474,-0.5,1.106855629553518
260,205,2,53,30837.94072637063,0.0,1.103331852403023
182,154,0,28,25728.923200837427,0.0,1.1015141544163014
173,148,1,24,25611.077398353038,-0.5,1.1014680685943523
222,177,4,41,26507.38545618828,0.0,1.1018133649973527
205,166,4,35,24143.45797935527,0.0,1.1008755940479256
250,196,5,49,30204.498056715758,-0.5,1.103123627699043
254,201,2,51,30418.42402327055,0.0,1.1031944352145815
262,202,6,54,31327.64628699337,-0.5,1.1034899079076261
258,204,1,53,31437.43896329695,-0.5,1.103525003940406
334,252,5,77,37265.84296634933,-0.5,1.1052307206332534
524,378,5,141,49471.95713592946,-0.5,1.1080705793137031
358,270,2,86,37653.117639687094,0.0,1.1053343805007538
246,195,3,48,29071.088855819493,-0.5,1.102739878555569
239,192,1,46,28958.935176812727,-0.5,1.1027010924816314
192,160,0,32,26341.80897914308,0.0,1.1017504691459206
191,159,2,30,26055.848928057745,0.0,1.1016409040523207
226,182,2,42,29647.577860490317,0.0,1.102936905650857
236,190,1,45,29973.989500129872,-0.5,1.103046766113924
142,128,0,14,23034.629262305763,0.0,1.1004034641678102
145,130,0,15,23239.752446410697,0.0,1.1004925009453286
212,174,1,37,27089.43938824319,-0.5,1.1020313762375074
203,168,1,34,26471.54047450924,-0.5,1.1017997824388794
130,120,0,10,22210.252416028274,0.0,1.1000374147428837
132,120,1,11,21505.843915393183,-0.5,1.0997136550154307
157,138,0,19,24068.118059673274,0.0,1.1008442112521415
147,131,0,16,23345.9872589034,0.0,1.1005383040149497
165,142,0,23,24479.3283165621,0.0,1.1010143146851412
136,124,0,12,22621.976288446822,0.0,1.1002219080097861
152,134,1,17,22945.98143813942,-0.5,1.1003647385591417
142,127,1,14,23434.19279412232,-0.5,1.1005761750111256
139,126,0,13,22828.238702249957,0.0,1.100313069926411
127,118,0,9,22003.09915081836,0.0,1.0999432862715521
147,130,1,16,23751.586334023945,-0.5,1.1007112733311406
146,130,0,16,23239.895803681087,0.0,1.1004925628952966
140,126,1,13,22124.855627008747,-0.5,1.0999987185356894
137,124,0,13,22624.027172435173,0.0,1.1002228185428768
136,124,0,12,22623.184830217488,0.0,1.100222444577362
142,127,1,14,23438.023269042264,-0.5,1.1005778163784057
141,125,3,13,23033.6987354515,-0.5,1.100403058447033
143,128,1,14,22328.349660486434,-0.5,1.1000906831113386
121,114,0,7,21592.625629884835,0.0,1.0997541123222312
138,124,0,14,22624.423675539125,0.0,1.1002229945692077
133,122,0,11,22416.335641960733,0.0,1.100130185998883
130,120,0,10,22210.967178284624,0.0,1.10003773799505
146,128,3,15,23336.916965454617,-0.5,1.100534401544856
188,158,0,30,26135.363028680833,0.0,1.1016714904269265
190,160,0,30,26349.049539533888,0.0,1.1017532278309579
142,128,0,14,23032.591800203085,0.0,1.100402575788659
152,134,1,17,24162.45875394707,-0.5,1.1008834932814366
130,120,0,10,22209.821638523586,0.0,1.1000372199181465
161,139,2,20,23980.214543545677,0.0,1.1008074701694348
142,128,0,14,23035.25177047712,0.0,1.1004037355795884
139,126,0,13,22827.10132479885,0.0,1.1003125695108802
171,147,0,24,24995.156756273394,0.0,1.1012236833075029
149,132,1,16,23951.819976157876,-0.5,1.1007955731727528
161,139,2,20,25179.80334026789,0.0,1.1012975763562043
192,159,2,31,26043.44674818452,0.0,1.1016361249096502
193,159,3,31,26553.056060713687,0.0,1.101830644045268
190,158,1,31,26652.22381101207,0.0,1.1018680607560587
233,188,1,44,29756.553962468573,-0.5,1.1029737181424464
288,223,3,62,33216.33680854142,-0.5,1.1040771190095853
645,451,14,180,59435.27424548425,0.0,1.1099087594346688
334,253,2,79,35870.89912677176,0.0,1.1048481765181473
393,292,4,97,39812.91507455212,0.0,1.1058935666663547
718,506,6,206,62550.592601224045,0.0,1.1104204686372663
200,165,2,33,27890.949147091476,0.0,1.1023240130749268
261,205,2,54,30828.623074889423,0.0,1.1033288207217935
427,311,7,109,40888.31617784386,-0.5,1.106160752300042
479,345,6,128,46432.587115477705,0.0,1.1074352219207393
828,575,5,248,68397.62172083122,-0.5,1.111315447256204
368,277,2,89,37184.22874531056,0.0,1.1052087376033426
305,236,1,68,34774.638783272494,-0.5,1.1045369238652212
323,248,0,75,35529.25626351032,0.0,1.104752211563634
214,176,0,38,28005.12156777329,0.0,1.102365010050124
274,216,0,58,32177.46215573908,0.0,1.1037583981942405
471,342,6,123,43646.504714398834,0.0,1.1068150746127208
299,232,0,67,33845.502757758106,0.0,1.1042653178057509
408,302,2,104,39806.770671783495,0.0,1.1058920193800552
268,212,0,56,31747.79460760354,0.0,1.1036235503397074
209,172,1,36,26878.405134721983,-0.5,1.1019528804126848
163,142,0,21,24480.801669277982,0.0,1.1010149189874205
134,122,0,12,22415.71582415952,0.0,1.1001299082656029
221,180,1,40,28938.747379302473,-0.5,1.102694094936977
179,152,0,27,25517.226410121963,0.0,1.101431213863896
166,144,0,22,24689.258660946027,0.0,1.1011000525650465
266,209,1,56,31945.38597605722,-0.5,1.1036857887855491
181,154,0,27,25723.68682450344,0.0,1.1015121111353665
160,140,0,20,24276.23642843601,0.0,1.1009306642153254
139,125,0,14,22726.29420758646,0.0,1.100268117323425
172,148,0,24,25099.507061944096,0.0,1.1012655099513005
166,144,0,22,24688.695056808603,0.0,1.1010998233641947
178,152,0,26,25518.028444728883,0.0,1.1014315293942767
166,144,0,22,24687.8459187322,0.0,1.1010994780353576
142,128,0,14,23033.68673414934,0.0,1.100403053214215
165,143,0,22,24585.139472964118,0.0,1.1010576210133578
256,202,0,54,30709.458374150025,0.0,1.103289966880618
173,148,1,24,25605.79299624781,-0.5,1.1014659970454788
169,145,1,23,24092.8934036875,-0.5,1.1008545422783593
180,153,0,27,25615.86471074761,0.0,1.1014699449077026
155,136,0,19,23860.16801988517,0.0,1.1007570751970779
145,130,0,15,23242.435853763764,0.0,1.100493660481059
161,140,1,20,23564.52963361078,-0.5,1.100631873822951
175,150,0,25,25312.075458265237,0.0,1.1013501761867204
163,142,0,21,24481.163697725147,0.0,1.1010150674694366
199,166,0,33,26970.181998862994,0.0,1.1019870932675433
175,150,0,25,25308.083598263594,0.0,1.1013485928108189
184,156,0,28,25929.127142816447,0.0,1.1015919643009653
145,129,1,15,23645.27596504814,-0.5,1.1006662253837216
156,137,0,19,23963.394002607954,0.0,1.1008004242654779
197,164,1,32,26050.91396598514,-0.5,1.1016390026531369
188,157,2,29,24632.431315925045,0.0,1.101076916113651
154,136,0,18,23863.273096182314,0.0,1.1007583818982982
195,163,0,32,26656.6874911209,0.0,1.1018697416467358
166,144,0,22,24687.044093421227,0.0,1.1010991519368045
158,138,1,19,23359.66485137381,-0.5,1.1005441858851657
143,128,1,14,22331.64417058517,-0.5,1.1000921650563835
140,126,0,14,22829.964666816202,0.0,1.1003138292566343
142,128,0,14,23033.04629548886,0.0,1.1004027739656312
160,140,0,20,24276.264005246314,0.0,1.1009306756214288
230,185,1,44,28240.44356959914,-0.5,1.102448982821172
145,130,0,15,23241.174345161344,0.0,1.10049311538329
207,169,3,35,27595.65363795217,-0.5,1.1022171923531348
250,200,0,50,30503.285245703024,0.0,1.1032223851887741
332,254,1,77,35456.098195576305,-0.5,1.1047315417377863
565,404,6,155,50335.643095232495,-0.5,1.1082439978947007
803,546,6,251,68234.81114046354,-0.5,1.1112915807471617
293,227,2,64,33136.139280586365,0.0,1.1040528734570585
508,368,4,136,46626.16023588428,0.0,1.1074769130437563
305,235,2,68,33957.78686979836,0.0,1.1042985353982766
413,306,3,104,41959.74782200709,-0.5,1.1064200362917698
370,276,4,90,38077.20141366507,0.0,1.105446673714251
355,269,0,86,37727.22703738808,0.0,1.105354095087081
743,525,3,215,66838.28524363294,-0.5,1.1110844889934428
1382,944,13,425,110842.28506814956,-0.5,1.116148699702341
407,302,2,103,42265.977101141616,0.0,1.1064929243075567
778,545,7,226,67366.87152423938,-0.5,1.1111633786755866
505,365,6,134,48567.32044902349,0.0,1.107885654776307
481,350,3,128,46669.77907000855,-0.5,1.1074862835726675
379,283,3,93,38290.248329973576,-0.5,1.105502614128153
287,221,2,64,32517.68987986656,0.0,1.1038639008323174
229,186,0,43,29048.12619564457,0.0,1.1027319496234127
203,168,1,34,26477.150454462095,-0.5,1.1018019094184435
160,140,0,20,24274.891981551136,0.0,1.1009301081199994
143,128,1,14,22333.193064712184,-0.5,1.1000928617080519
186,157,0,29,26035.463153395314,0.0,1.1016330472466278
161,140,0,21,24276.552936227155,0.0,1.1009307951260066
166,144,0,22,24686.794175296953,0.0,1.101099050294114
178,150,2,26,23889.058063647233,-0.5,1.1007692263282791
182,151,4,27,26232.430721362944,0.0,1.101708702704207
223,182,0,41,28631.8021973265,0.0,1.1025870931673931
159,139,0,20,24173.51269335003,0.0,1.1008880858904775
170,146,1,23,24186.48875035421,-0.5,1.1008934743968783
191,159,0,32,26242.317870955554,0.0,1.1017124853240987
212,173,2,37,28715.752381907292,0.0,1.102616472319923
172,148,0,24,25103.548710489744,0.0,1.1012671264479095
230,185,2,43,28727.88450683476,-0.5,1.1026207109414023
