days_alive,work_days,spec_days,rest_days,final_cash,final_happiness,final_health,final_reward
1974,563,708,703,-50076.56876323831,75,99.8,1.2423431236761688
1289,228,475,586,-50203.43919504944,95,99.8,1.829656080495056
1166,168,366,632,-50215.760074969505,85,99.6,1.5284239925030496
1536,150,304,1082,-50212.07455670001,95,99.8,1.8287925443299988
1650,109,239,1302,-50031.65132751053,100,100.0,1.996834867248947
1408,60,162,1186,-50154.34005182875,95,99.8,1.8345659948171242
1614,88,226,1300,-50030.43425763311,100,100.0,1.9969565742366893
2337,186,362,1789,-50259.33907427332,95,99.8,1.824066092572668
1372,34,117,1221,-50021.977673593035,100,100.0,1.9978022326406961
1821,62,104,1655,-50472.79804893003,95,99.8,1.8027201951069962
2021,107,151,1763,-50017.71296136998,100,100.0,1.9982287038630018
1932,47,90,1795,-50023.578046604416,100,100.0,1.9976421953395587
2052,45,89,1918,-50044.84867809034,100,100.0,1.9955151321909659
1835,22,65,1748,-50026.436654371595,100,100.0,1.9973563345628405
1842,30,49,1763,-50004.428542416834,100,100.0,1.9995571457583168
1861,28,46,1787,-50041.130786166636,100,100.0,1.9958869213833363
1843,9,30,1804,-50026.357008188475,100,100.0,1.9973642991811529
1916,22,47,1847,-50044.99628546493,100,100.0,1.995500371453507
2136,32,68,2036,-50041.99457259476,100,100.0,1.9958005427405237
2158,25,63,2070,-50025.90200584212,100,100.0,1.997409799415788
1848,9,35,1804,-50027.06942243162,100,100.0,1.9972930577568384
1876,10,43,1823,-50044.973203071924,100,100.0,1.995502679692808
2041,15,46,1980,-50042.99446207151,100,100.0,1.9957005537928492
2300,43,98,2159,-50022.06351331429,100,100.0,1.997793648668571
1989,9,26,1954,-50012.802704849935,100,100.0,1.998719729515006
2009,11,24,1974,-50021.04608298933,100,100.0,1.997895391701067
2101,23,30,2048,-50004.05162016414,100,100.0,1.9995948379835866
2034,14,34,1986,-50043.129559046145,100,100.0,1.9956870440953853
2052,24,28,2000,-50013.123191395665,100,100.0,1.9986876808604332
2135,31,41,2063,-50028.264578057766,100,100.0,1.9971735421942238
2107,17,41,2049,-50006.06861105782,100,100.0,1.9993931388942183
1966,18,33,1915,-50033.47773172511,100,100.0,1.9966522268274893
1953,14,26,1913,-50022.825932603366,100,100.0,1.997717406739663
1982,15,27,1940,-50038.693003475535,100,100.0,1.9961306996524462
2087,31,47,2009,-50038.49554454585,100,100.0,1.9961504455454149
2081,31,49,2001,-50026.278953931964,100,100.0,1.9973721046068036
1906,18,21,1867,-50008.1380365575,100,100.0,1.99918619634425
1928,18,34,1876,-50003.943835258215,100,100.0,1.9996056164741782
2071,20,39,2012,-50000.817364271534,100,100.0,1.9999182635728463
1968,24,39,1905,-50020.93102192102,100,100.0,1.9979068978078987
2209,20,54,2135,-50020.98845943087,100,100.0,1.9979011540569136
1972,17,19,1936,-50016.51292057004,100,100.0,1.9983487079429958
1966,11,20,1935,-50035.1349200791,100,100.0,1.9964865079920902
2141,8,37,2096,-50032.698654300424,100,100.0,1.9967301345699573
2055,3,13,2039,-50012.83013640892,100,100.0,1.998716986359108
2260,9,15,2236,-50024.428626098445,100,100.0,1.9975571373901557
2144,3,7,2134,-50009.20182650192,100,100.0,1.9990798173498074
2189,1,9,2179,-50002.01699506775,100,100.0,1.9997983004932252
2081,0,5,2076,-50016.81085668842,100,100.0,1.9983189143311577
2201,1,12,2188,-50006.11768924407,100,100.0,1.999388231075593
2111,1,6,2104,-50017.891918453846,100,100.0,1.9982108081546155
2073,3,9,2061,-50017.20924409051,100,100.0,1.9982790755909488
2003,2,4,1997,-50028.805579518936,100,100.0,1.9971194420481062
2196,5,11,2180,-50012.12663985383,100,100.0,1.998787336014617
2303,6,15,2282,-50018.80706855245,100,100.0,1.9981192931447547
2075,1,7,2067,-50003.01088640448,100,100.0,1.9996989113595518
2058,3,6,2049,-50011.95751081919,100,100.0,1.9988042489180806
2047,2,8,2037,-50043.75705943446,100,100.0,1.9956242940565545
2013,1,7,2005,-50005.23859673199,100,100.0,1.9994761403268004
2115,2,6,2107,-50034.51231460162,100,100.0,1.9965487685398378
2069,2,9,2058,-50001.418072851295,100,100.0,1.9998581927148704
2005,1,9,1995,-50025.51592498696,100,100.0,1.9974484075013041
2148,3,7,2138,-50035.28582055947,100,100.0,1.9964714179440533
2108,2,8,2098,-50002.256577135195,100,100.0,1.9997743422864804
