days_alive,work_days,spec_days,rest_days,final_cash,final_happiness,final_health,final_reward
193,70,61,62,-5050.273597096837,39.0,78.0,5.17
119,30,49,40,-5589.430973218283,67.0,96.0,6.01
162,60,45,57,-5683.8951200664305,92.0,98.5,6.76
308,111,93,104,-5006.290735368692,100.0,100.0,7.0
155,40,58,57,-5358.717215179846,95.0,99.5,6.85
180,56,57,67,-5083.343082766098,82.0,97.0,6.46
154,49,44,61,-5458.48951989374,90.0,97.0,6.7
160,53,47,60,-5155.474703206662,87.0,94.5,6.609999999999999
200,74,71,55,-5128.2498200761665,86.0,91.0,6.58
104,32,34,38,-5708.461886937781,70.0,95.0,6.1
206,65,61,80,-5525.733029860935,87.0,98.0,6.609999999999999
208,67,69,72,-5044.875198510017,82.0,96.5,6.46
225,76,52,97,-5729.697319745393,90.0,99.0,6.7
248,103,50,95,-5733.214357713945,84.0,99.5,6.52
321,115,79,127,-5341.369310632932,66.0,90.0,5.98
226,90,45,91,-5517.767859767118,87.0,93.5,6.609999999999999
207,75,45,87,-5437.480644451627,89.0,97.5,6.67
214,59,52,103,-5201.480943622868,87.0,99.5,6.609999999999999
213,60,42,111,-5244.820715615543,92.0,98.5,6.76
234,63,56,115,-5675.407787896294,89.0,97.5,6.67
181,47,35,99,-5104.5927904926775,95.0,99.5,6.85
153,32,36,85,-5056.682155282056,89.0,98.5,6.67
330,94,52,184,-5072.131518258175,100.0,100.0,7.0
187,46,41,100,-5138.285656342214,86.0,96.0,6.58
221,64,43,114,-5073.335576723732,95.0,98.0,6.85
251,70,44,137,-5072.175574453442,100.0,100.0,7.0
165,52,31,82,-5399.949486956798,89.0,97.5,6.67
208,59,36,113,-5576.557925170757,92.0,98.5,6.76
166,41,29,96,-5073.965723045224,78.0,95.5,6.34
185,45,41,99,-5025.179065760115,100.0,100.0,7.0
321,97,45,179,-5145.898795958137,84.0,96.5,6.52
247,87,45,115,-5022.960452186567,92.0,97.5,6.76
138,41,29,68,-5223.43526087855,54.0,91.5,5.62
229,68,22,139,-5034.084067087966,97.0,98.0,6.91
222,58,30,134,-5043.07904273925,100.0,100.0,7.0
165,33,21,111,-5043.547658212421,100.0,100.0,7.0
163,42,19,102,-5000.453361829423,98.0,100.0,6.9399999999999995
251,64,43,144,-5026.345957016871,100.0,100.0,7.0
219,61,28,130,-5503.088725419861,88.0,98.5,6.640000000000001
180,48,27,105,-5350.044512789123,95.0,99.5,6.85
257,73,34,150,-5474.90425516864,95.0,99.5,6.85
182,52,27,103,-5111.247654858056,95.0,99.5,6.85
132,44,23,65,-5059.5126747420245,83.0,98.5,6.49
190,62,23,105,-5540.507763951086,95.0,99.5,6.85
237,80,25,132,-5359.224601086164,65.0,92.0,5.95
183,59,21,103,-5071.660292466722,100.0,100.0,7.0
359,120,42,197,-5041.035298944153,100.0,100.0,7.0
270,88,27,155,-5057.161398510835,100.0,100.0,7.0
265,79,32,154,-5253.550558488674,77.0,95.0,6.3100000000000005
193,69,20,104,-5425.378277636027,91.0,98.5,6.73
233,67,18,148,-5026.451901201232,100.0,100.0,7.0
243,64,32,147,-5022.142952894312,100.0,100.0,7.0
214,66,27,121,-5108.328984128747,92.0,98.0,6.76
264,73,36,155,-5061.29129672257,100.0,100.0,7.0
