days_alive,work_days,spec_days,rest_days,final_cash,final_happiness,final_health,final_reward
904,294,309,301,-50038.42416393044,0,99.8,4.0
1787,536,592,659,-50229.44829517179,60,98.7,5.8
1341,283,436,622,-50298.35085185185,75,99.5,6.25
1154,213,324,617,-50028.70732447972,100,100.0,7.0
1139,99,218,822,-50018.75783241453,100,100.0,7.0
1391,78,167,1146,-50037.26858632624,100,100.0,7.0
1720,15,49,1656,-50032.09485824986,100,100.0,7.0
2074,74,117,1883,-50010.7435086228,100,100.0,7.0
1878,32,65,1781,-50044.25966782676,100,100.0,7.0
1791,18,31,1742,-50006.87468449092,100,100.0,7.0
1983,41,77,1865,-50032.63025856971,100,100.0,7.0
2215,79,129,2007,-50017.144589668846,100,100.0,7.0
1737,12,30,1695,-50044.242376274655,100,100.0,7.0
1896,33,49,1814,-50000.168334171736,100,100.0,7.0
2293,61,121,2111,-50024.64937506721,100,100.0,7.0
1947,31,44,1872,-50025.54258032896,100,100.0,7.0
2190,64,90,2036,-50005.73500522319,100,100.0,7.0
1772,15,26,1731,-50030.36073705082,100,100.0,7.0
2072,49,74,1949,-50044.99114543209,100,100.0,7.0
1858,17,41,1800,-50020.51252449477,100,100.0,7.0
2246,48,74,2124,-50023.9014454156,100,100.0,7.0
2154,50,84,2020,-50027.7921385635,100,100.0,7.0
2343,46,92,2205,-50038.46976821317,100,100.0,7.0
2105,27,63,2015,-50021.393940817194,100,100.0,7.0
1895,15,38,1842,-50011.074406856096,100,100.0,7.0
2158,27,53,2078,-50033.044540731986,100,100.0,7.0
2137,31,49,2057,-50010.05913736025,100,100.0,7.0
2026,21,42,1963,-50030.530691477834,100,100.0,7.0
2253,24,55,2174,-50006.318492720144,100,100.0,7.0
2457,42,88,2327,-50041.21469519875,100,100.0,7.0
2392,39,74,2279,-50025.02737118836,100,100.0,7.0
1949,27,40,1882,-50014.10173025842,100,100.0,7.0
2154,36,51,2067,-50013.022876041956,100,100.0,7.0
1817,18,20,1779,-50016.65159908403,100,100.0,7.0
1992,26,42,1924,-50016.78195089771,100,100.0,7.0
2077,24,55,1998,-50036.75550743881,100,100.0,7.0
2079,21,44,2014,-50023.96821119675,100,100.0,7.0
1922,4,25,1893,-50032.74725538766,100,100.0,7.0
2148,16,33,2099,-50035.50988252849,100,100.0,7.0
2063,14,28,2021,-50031.62764144433,100,100.0,7.0
2287,24,37,2226,-50041.172989269224,100,100.0,7.0
2064,24,38,2002,-50027.37158053722,100,100.0,7.0
2079,6,18,2055,-50009.11705482829,100,100.0,7.0
2004,6,20,1978,-50032.97769860719,100,100.0,7.0
2156,17,31,2108,-50029.022299623786,100,100.0,7.0
2031,11,32,1988,-50019.05502652735,100,100.0,7.0
2046,18,24,2004,-50008.84146320904,100,100.0,7.0
2161,14,39,2108,-50036.36068624362,100,100.0,7.0
2035,13,27,1995,-50023.041401666014,100,100.0,7.0
2032,10,18,2004,-50029.68993502702,100,100.0,7.0
2159,13,32,2114,-50021.3918683765,100,100.0,7.0
2015,18,23,1974,-50021.00264792246,100,100.0,7.0
2142,27,38,2077,-50039.127575670114,100,100.0,7.0
2055,15,25,2015,-50017.17598348475,100,100.0,7.0
1896,7,18,1871,-50010.112706139545,100,100.0,7.0
1948,7,20,1921,-50002.92887661916,100,100.0,7.0
1910,8,16,1886,-50039.26656075232,100,100.0,7.0
2029,8,18,2003,-50005.7094451522,100,100.0,7.0
1963,7,11,1945,-50028.46789848636,100,100.0,7.0
