days_alive,work_days,spec_days,rest_days,final_cash,final_happiness,final_health,final_reward
1598,488,549,561,-50226.85168042972,90,95.85000000000628,-45.526851680429715
2257,687,743,827,-50270.37828522629,40,98.55000000000005,-47.07037828522628
1299,381,444,474,-50772.20797181459,85,99.80000000000001,-46.22220797181459
1033,301,344,388,-50216.81855140923,90,90.25000000000314,-45.51681855140923
1136,321,390,425,-50051.776083813944,95,99.80000000000001,-45.20177608381394
694,209,236,249,-50462.713292049,45,99.80000000000001,-47.112713292048994
911,246,326,339,-50131.73485857198,90,99.45000000000003,-45.43173485857198
1066,304,333,429,-50283.77131853913,80,99.40000000000002,-45.88377131853913
1643,479,548,616,-50454.025040288514,60,99.25000000000003,-46.654025040288516
1124,328,384,412,-50708.48921961722,90,94.45000000000205,-46.00848921961722
2280,671,759,850,-50149.25928924164,90,99.25000000000003,-45.44925928924164
892,238,296,358,-50427.126845053324,60,98.85000000000005,-46.627126845053326
1573,453,507,613,-50418.8593116986,75,99.80000000000001,-46.168859311698604
1207,340,412,455,-50188.57518547581,65,98.7500000000036,-46.23857518547581
1461,417,508,536,-50027.83419122525,100,99.95,-45.02783419122525
1120,296,367,457,-50584.12223100799,95,99.80000000000001,-45.73412223100799
1023,272,347,404,-50259.3937189064,95,99.80000000000001,-45.4093937189064
838,224,300,314,-50809.549418779716,65,98.60000000000004,-46.859549418779714
1243,352,410,481,-50327.95841787714,95,95.30000000000035,-45.47795841787714
1200,314,424,462,-50118.8483377775,75,99.55000000000001,-45.8688483377775
1009,253,370,386,-50030.184765586775,95,99.80000000000001,-45.18018476558677
1290,356,442,492,-50140.918395649845,45,99.80000000000001,-46.79091839564985
977,280,313,384,-50614.59894782651,95,75.60000000000059,-45.76459894782651
1080,317,350,413,-50544.375696348034,60,99.20000000000005,-46.74437569634804
1102,305,377,420,-50549.39895888395,90,99.25000000000003,-45.849398958883945
1358,356,440,562,-50272.710886895584,85,94.50000000000038,-45.722710886895584
980,255,340,385,-50280.49050114903,85,99.55000000000001,-45.73049050114903
1077,313,347,417,-50293.83820313614,80,99.55000000000001,-45.89383820313614
784,206,282,296,-50088.04302190611,95,99.80000000000001,-45.23804302190611
952,245,289,418,-50563.06657331885,95,99.60000000000016,-45.71306657331885
1154,303,388,463,-50160.18739824641,95,99.80000000000001,-45.310187398246406
1215,331,377,507,-50006.87571324328,75,99.80000000000001,-45.75687571324328
1089,289,366,434,-50442.95389963645,85,99.70000000000007,-45.89295389963645
903,233,336,334,-50312.89977829904,55,98.75000000000003,-46.66289977829904
1258,381,385,492,-50095.66854240194,30,99.25000000000003,-47.19566854240194
986,265,317,404,-50209.9998806876,70,99.55000000000001,-46.1099998806876
861,226,325,310,-50734.62778337562,0,83.95000000000032,-48.734627783375615
1475,409,508,558,-50072.094598642354,95,99.80000000000001,-45.22209459864235
1349,380,437,532,-50231.00308081974,85,96.65000000000083,-45.68100308081974
1240,336,411,493,-50101.43472241645,70,99.80000000000001,-46.00143472241645
2094,581,685,828,-50548.73188814632,25,98.40000000000005,-47.79873188814632
1259,375,429,455,-50089.223786950795,35,79.1500000000027,-47.0392237869508
735,195,265,275,-50408.88124114283,80,98.55000000000005,-46.00888124114283
1355,398,464,493,-50131.38549528875,80,93.60000000000193,-45.73138549528875
1180,320,410,450,-50083.63856062049,90,99.80000000000001,-45.38363856062049
1035,263,356,416,-50165.40850142535,60,99.75000000000001,-46.36540850142536
1056,292,368,396,-50319.77293261595,80,99.20000000000006,-45.919772932615956
723,192,255,276,-50227.3852150429,60,65.3500000000006,-46.427385215042904
1262,349,434,479,-50016.51944696852,100,99.95,-45.01651944696852
1031,296,326,409,-50486.55401989673,75,98.50000000000017,-46.23655401989673
1148,309,390,449,-50216.978468897854,80,99.10000000000005,-45.81697846889786
1144,323,359,462,-50153.119280448656,70,98.8000000000001,-46.053119280448655
871,231,292,348,-50092.92089617741,85,99.40000000000002,-45.542920896177414
1303,359,451,493,-50415.552949880264,35,98.20000000000006,-47.36555294988027
875,259,296,320,-50235.05482398182,70,99.80000000000001,-46.135054823981825
1704,517,527,660,-50058.50947257235,50,98.60000000000014,-46.55850947257235
1070,329,346,395,-50056.836362178154,45,99.05000000000001,-46.70683636217815
1458,412,480,566,-50170.61446208346,90,99.65000000000002,-45.47061446208346
1062,297,349,416,-50106.91352908179,60,99.80000000000001,-46.30691352908179
781,234,249,298,-50352.37579544633,20,21.300000000001376,-47.752375795446326
