days_alive,work_days,spec_days,rest_days,final_cash,final_happiness,final_health,final_reward
188,64,51,73,-5145.263113998736,63.0,98.75,5.890000000000001
260,96,98,66,-5360.289483951642,72.0,99.0,6.16
468,164,158,146,-5615.478126774081,55.0,97.0,5.65
199,57,70,72,-5266.55501923077,95.0,99.75,6.85
301,94,109,98,-5314.252503365625,90.0,99.5,6.7
587,197,190,200,-5252.853827031519,95.0,99.75,6.85
240,68,87,85,-5514.707023789976,63.0,97.5,5.890000000000001
222,79,77,66,-5210.9225422340005,95.0,99.75,6.85
298,101,102,95,-5721.430418502604,86.0,99.75,6.58
614,196,206,212,-5507.2193070952735,80.0,99.0,6.4
666,212,218,236,-5092.250114807945,95.0,99.5,6.85
435,144,146,145,-5232.747413582417,95.0,99.75,6.85
379,122,134,123,-5019.192986048147,95.0,99.75,6.85
347,107,108,132,-5153.710035398524,95.0,99.75,6.85
652,217,220,215,-5242.29485642372,85.0,99.0,6.55
377,127,128,122,-5173.442103785472,72.0,99.5,6.16
425,136,147,142,-5023.968364986205,95.0,100.0,6.85
292,105,94,93,-5368.5876117810585,90.0,98.5,6.7
343,99,129,115,-5001.619279200941,72.0,99.25,6.16
652,205,228,219,-5053.995992904939,87.0,97.25,6.609999999999999
387,129,123,135,-5321.12049621551,69.0,98.25,6.07
278,97,94,87,-5522.033606335832,76.0,97.75,6.28
508,164,167,177,-5139.138902874053,82.0,99.0,6.46
240,80,81,79,-5051.810772295552,92.0,99.25,6.76
753,228,267,258,-5162.682627659749,84.0,99.75,6.52
370,106,128,136,-5689.849614036952,95.0,99.75,6.85
193,73,74,46,-5025.8152666799415,76.0,100.0,6.28
385,128,131,126,-5023.903471934344,95.0,99.25,6.85
274,78,96,100,-5177.901288498176,87.0,99.0,6.609999999999999
378,132,103,143,-5182.652332834531,80.0,97.5,6.4
413,122,146,145,-5206.579820558385,94.0,99.0,6.82
261,75,88,98,-5231.890907922781,75.0,99.75,6.25
