days_alive,work_days,spec_days,rest_days,final_cash,final_happiness
195,3,3,189,-5035.069518316148,100.0
189,5,4,180,-5058.26604971371,100.0
184,4,1,179,-5038.1936030697325,100.0
239,0,13,226,-5016.843823778658,100.0
161,1,5,155,-5075.707641768122,100.0
170,2,4,164,-5011.672035203498,100.0
210,3,4,203,-5719.2670094327905,95.0
176,3,4,169,-5365.966696710033,95.0
173,2,2,169,-5067.381727637137,100.0
182,1,6,175,-5078.025802867128,100.0
180,3,3,174,-5005.69477696618,100.0
187,5,6,176,-5054.2113263459805,100.0
189,3,2,184,-5047.6782331042705,100.0
197,4,3,190,-5072.574312762999,100.0
214,11,2,201,-5061.765846920184,100.0
155,4,6,145,-5017.861190551256,100.0
214,13,4,197,-5075.159799397863,100.0
193,8,4,181,-5059.5141181721765,100.0
223,24,8,191,-5068.554425862896,100.0
222,26,10,186,-5027.279040622942,100.0
236,30,44,162,-5556.996888116412,92.0
185,14,13,158,-5315.574403849875,89.0
178,16,18,144,-5639.523259458119,94.0
195,17,19,159,-5190.850747929982,76.0
153,6,10,137,-5021.2136275780895,100.0
161,11,12,138,-5382.929453226329,94.0
265,65,8,192,-5613.905961281627,78.0
187,25,7,155,-5005.467246890846,89.0
193,5,7,181,-5072.8393834133,100.0
155,2,4,149,-5000.920626825727,92.0
160,1,5,154,-5005.681504064792,100.0
199,1,4,194,-5030.2839414213195,100.0
199,1,4,194,-5032.304787948389,100.0
188,0,0,188,-5056.962565945582,100.0
194,0,1,193,-5036.148817803086,100.0
159,0,5,154,-5054.361457251411,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5036.232663513326,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
194,0,1,193,-5044.422629796685,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.288839212545,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5035.992351955024,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
