days_alive,work_days,spec_days,rest_days,final_cash
2816,791,1259,766,-50478.27865348122
29200,2565,4926,21709,-72125367820.59607
354,155,136,63,4960.459088786659
208,110,74,24,23544.365277554447
200,110,68,22,20472.292721203805
253,122,96,35,20186.80186327811
189,94,78,17,21482.820246027288
186,80,93,13,11906.86406817354
168,89,67,12,17812.9266520719
221,85,115,21,7756.011949552516
184,91,78,15,15183.467920996462
174,81,82,11,11300.722707321765
233,87,122,24,11521.755615202945
29200,347,753,28100,-18241767706.72162
161,54,104,3,2704.848211565058
172,43,126,3,5418.3930388361505
29200,174,293,28733,-2546994787.3792667
527,80,129,318,5805.503543833127
144,61,82,1,9214.533451698966
138,63,75,0,3500.735285731527
136,69,66,1,5613.5697363149875
134,66,68,0,7506.2589616963505
131,74,56,1,11944.752698172984
133,68,65,0,14692.845150973095
132,74,57,1,16063.217297246705
125,75,50,0,11426.598759055469
123,82,40,1,20382.629054619014
129,82,45,2,14439.492209721611
125,75,50,0,12618.62454676503
121,85,35,1,20585.211499229023
131,74,56,1,8323.865284174188
136,84,48,4,25860.89276429811
128,78,49,1,14847.998083183136
128,83,43,2,6289.96777126914
124,76,48,0,10515.795866926723
125,75,50,0,15029.348380706118
121,79,42,0,12643.588015651265
131,74,56,1,19164.673612842333
132,68,64,0,15358.796582627505
1662,160,127,1375,4859.2920977234535
117,83,34,0,21084.115336453022
125,75,50,0,12642.326811620946
139,81,54,4,12875.750743524812
