days_alive,work_days,spec_days,rest_days,final_cash,final_happiness
601,189,195,217,-5487.836278441581,43
385,123,114,148,-5623.484958875839,70
197,66,73,58,-5118.971548360952,79
717,242,232,243,-5545.099269665974,78
433,126,159,148,-5101.785558432269,92
416,139,138,139,-5233.163697789675,66
424,127,145,152,-5633.858698485736,89
254,95,72,87,-5199.146211795031,85
277,105,79,93,-5018.153268471348,95
180,63,60,57,-5278.458934038045,95
632,214,213,205,-5130.1940952320965,90
621,210,210,201,-5007.813669699324,100
191,58,67,66,-5140.6573623873965,94
388,140,125,123,-5701.61324648421,81
576,206,165,205,-5635.884577661649,90
464,171,150,143,-5259.782049488379,95
261,79,85,97,-5158.848498834552,76
243,62,80,101,-5119.469982677684,95
268,75,96,97,-5238.2180302933775,81
750,240,263,247,-5006.661223707036,100
454,156,140,158,-5022.3376821757965,85
413,128,136,149,-5005.930291755921,78
164,47,59,58,-5551.466279771475,85
312,100,85,127,-5052.327878934781,86
443,135,124,184,-5209.927523457075,95
476,163,150,163,-5289.583526424111,86
545,165,186,194,-5309.567782053034,95
536,176,183,177,-5391.179403765564,90
582,210,175,197,-5414.220053609164,86
320,100,102,118,-5494.593692315611,94
360,114,124,122,-5212.63939507973,81
265,94,87,84,-5313.059453116611,77
170,61,62,47,-5290.609111810839,95
196,74,66,56,-5405.329036363992,78
279,94,100,85,-5468.483293288974,89
221,68,67,86,-5458.6405785353,82
518,157,169,192,-5566.53777637655,94
354,132,112,110,-5741.592680609348,76
240,76,84,80,-5187.51864789993,74
607,196,195,216,-5340.068370064539,88
924,295,280,349,-5048.0782033483365,94
247,81,85,81,-5671.753099209519,82
309,114,94,101,-5025.211936381795,68
429,142,136,151,-5313.61724704421,85
557,179,182,196,-5053.819457955517,95
262,88,85,89,-5536.6882373233,84
657,223,205,229,-5347.767507398957,81
742,267,217,258,-5663.14150101146,80
924,303,275,346,-5538.00985049471,92
276,91,93,92,-5412.155341117494,95
436,148,145,143,-5314.8051076410275,75
297,99,95,103,-5580.593148582188,52
640,236,189,215,-5343.223218696669,62
625,221,189,215,-5286.94837271778,92
270,110,82,78,-5170.088906182843,72
323,101,109,113,-5527.092629233205,95
595,205,197,193,-5382.8588607030215,79
317,101,99,117,-5524.577791383009,81
242,67,79,96,-5095.192749446748,95
251,85,76,90,-5052.460825198273,90
458,162,128,168,-5034.228522657095,95
280,96,98,86,-5007.984779265263,94
252,89,79,84,-5586.96255257669,56
449,145,149,155,-5295.988482057233,74
537,165,198,174,-5021.2027109379615,90
583,182,170,231,-5012.3840051321595,95
532,173,188,171,-5480.344082927628,87
512,179,176,157,-5224.855647180687,85
458,148,157,153,-5056.469906770425,90
377,133,118,126,-5708.5618983348895,78
263,86,79,98,-5285.919806949849,95
408,141,123,144,-5126.314166836775,95
827,301,257,269,-5159.926690597791,87
700,243,228,229,-5304.375440379155,63
300,106,102,92,-5162.363448209286,87
523,182,174,167,-5243.525454361065,87
559,176,204,179,-5286.030673388114,75
313,89,97,127,-5055.897141170558,90
320,113,100,107,-5070.288475811167,56
626,217,175,234,-5373.056278006806,79
401,130,129,142,-5154.730418495472,90
221,74,71,76,-5130.065956780062,90
