days_alive,work_days,spec_days,rest_days,final_cash,final_happiness
358,111,120,127,-5158.4755303455895,95
337,120,104,113,-5657.430640559222,81
223,75,83,65,-5131.76009809483,92
430,147,123,160,-5216.23603419116,90
325,130,109,86,-5162.815391199646,95
1284,435,415,434,-5538.219358767578,95
357,124,109,124,-5671.406381105451,70
467,143,157,167,-5635.146666549642,83
285,93,103,89,-5317.98133078681,76
373,122,129,122,-5026.413010132737,84
125,44,49,32,-5690.4131646100595,55
364,106,124,134,-5104.059567814144,85
250,65,94,91,-5350.406936971414,73
788,270,261,257,-5087.0140817915835,89
571,189,166,216,-5482.264320968127,59
417,134,168,115,-5158.428299669972,84
370,122,107,141,-5061.0435457332505,80
220,71,81,68,-5246.827749471053,72
204,66,76,62,-5086.505412362859,64
303,89,100,114,-5447.797631039395,69
248,67,95,86,-5672.355466103437,85
416,138,141,137,-5015.482125614537,94
284,89,94,101,-5400.206732082233,87
597,185,191,221,-5516.693074712823,92
223,63,80,80,-5366.981618898938,77
241,90,64,87,-5457.247833806334,83
511,186,162,163,-5299.875181421543,67
444,143,144,157,-5477.980491036513,84
532,170,165,197,-5323.774618039291,93
386,120,118,148,-5162.584305897251,95
354,115,102,137,-5109.653047095019,95
238,76,74,88,-5296.002661860229,90
654,232,208,214,-5138.516135746441,86
243,78,77,88,-5034.790513603387,90
298,117,88,93,-5018.218149948682,81
246,81,71,94,-5398.020612837676,95
286,86,95,105,-5278.614574755201,73
582,195,188,199,-5259.306276592883,91
259,78,71,110,-5004.125159100438,92
258,101,68,89,-5397.957225099985,87
514,168,176,170,-5033.440050245395,66
234,66,92,76,-5494.624502139721,64
232,78,87,67,-5561.665387368926,89
751,257,234,260,-5659.437083656294,92
235,89,71,75,-5372.752444939548,76
630,222,208,200,-5460.778404215409,80
316,117,103,96,-5265.855579416777,90
443,161,124,158,-5241.932638609098,85
398,127,127,144,-5151.537227890694,90
387,131,113,143,-5342.930234783432,82
377,114,121,142,-5247.933018791363,79
183,47,68,68,-5416.919558157073,84
360,118,125,117,-5577.714137447251,94
277,94,95,88,-5387.337397052891,92
419,137,148,134,-5438.887864948354,95
202,68,63,71,-5311.387702417597,81
163,56,46,61,-5097.488509696181,67
752,252,224,276,-5038.822139497574,92
375,129,112,134,-5574.752668023569,73
442,156,132,154,-5009.093437060413,90
585,196,174,215,-5019.4972975813735,95
451,155,131,165,-5011.5717937968575,86
293,94,99,100,-5146.158965683982,89
674,223,201,250,-5576.528405054888,95
335,115,107,113,-5476.609962231144,16
345,106,108,131,-5318.593981386026,95
385,120,123,142,-5094.188545812069,90
425,134,133,158,-5106.039742065365,90
435,142,136,157,-5454.124802829422,87
279,72,99,108,-5552.692095901288,89
413,145,113,155,-5034.663910789239,95
859,276,253,330,-5719.048615303405,92
181,58,56,67,-5471.505745733389,70
182,56,63,63,-5728.849686011998,77
265,95,74,96,-5642.222945420566,81
878,286,285,307,-5390.5881505881425,79
542,199,155,188,-5056.799628785836,59
353,114,116,123,-5399.340803245692,84
294,99,86,109,-5236.289857505527,92
450,154,138,158,-5084.241359821618,95
354,130,104,120,-5167.775758803834,95
573,196,179,198,-5575.428893554929,90
983,345,299,339,-5572.835201642328,84
506,171,160,175,-5315.419496609703,63
267,84,77,106,-5307.7848638333635,83
343,102,115,126,-5555.586674665497,95
524,167,158,199,-5005.950123956515,79
379,108,122,149,-5120.344164002791,77
277,90,94,93,-5032.177105218609,85
438,134,123,181,-5635.421480841253,67
807,280,252,275,-5511.707154500725,95
442,152,126,164,-5007.123981380889,93
397,144,99,154,-5578.332886517294,87
388,123,129,136,-5397.33420260811,87
559,208,162,189,-5107.095780354652,89
181,57,57,67,-5003.02951698185,86
296,105,97,94,-5123.687769360101,31
602,213,167,222,-5314.283924496856,82
266,96,72,98,-5496.655396138666,75
268,90,76,102,-5225.454649931572,61
212,69,54,89,-5301.092383356595,67
631,205,183,243,-5005.801332271953,95
397,137,99,161,-5048.054055954723,95
284,93,82,109,-5114.00508258418,79
240,70,82,88,-5526.642368832448,80
925,317,268,340,-5067.205539800316,87
639,228,171,240,-5380.17029099927,90
581,193,155,233,-5082.31388726775,95
843,273,229,341,-5179.370264740749,95
443,153,125,165,-5428.04425104641,81
346,131,93,122,-5363.185321338294,62
345,130,96,119,-5191.125475476626,83
332,105,92,135,-5380.752124515396,91
349,113,92,144,-5364.1951396835075,84
347,113,97,137,-5233.816185266762,92
243,77,77,89,-5035.463285028226,88
609,217,169,223,-5129.425835613632,85
504,149,148,207,-5051.3971603934515,90
377,123,118,136,-5729.811260320836,95
724,245,184,295,-5585.649844031282,87
1035,334,313,388,-5317.335565015577,75
359,135,93,131,-5504.157857454464,79
658,225,160,273,-5034.335243903016,100
576,203,164,209,-5390.075636693116,86
538,183,146,209,-5109.82614551107,87
269,81,83,105,-5093.27170917656,95
327,113,80,134,-5705.395976879026,87
503,179,132,192,-5166.22321264711,80
630,217,164,249,-5039.664894454721,100
294,111,76,107,-5422.396372719624,95
219,63,61,95,-5170.2350176050195,95
614,201,177,236,-5326.240382187487,92
422,142,118,162,-5650.615541075984,62
581,185,144,252,-5506.656728758263,94
455,145,126,184,-5010.465917768195,81
457,150,113,194,-5087.086711249024,95
350,113,88,149,-5114.254327750345,92
346,130,82,134,-5005.159103123766,95
243,76,63,104,-5012.977083601091,77
430,124,114,192,-5034.340839619071,85
567,193,141,233,-5676.120586601893,86
614,214,160,240,-5653.426093696075,63
615,195,164,256,-5338.949980016621,95
464,172,118,174,-5661.5984761742175,81
277,97,68,112,-5382.7124205267255,87
594,200,152,242,-5076.827525196573,95
385,112,102,171,-5533.093161450905,84
181,65,52,64,-5564.744430245805,78
661,230,149,282,-5081.6624213889645,95
513,170,134,209,-5570.078649865367,79
818,269,208,341,-5268.727213688941,88
297,98,65,134,-5197.320897505536,91
417,141,97,179,-5066.574140287715,90
576,198,136,242,-5564.700217336462,95
394,133,92,169,-5255.2519305876285,92
268,78,74,116,-5111.463748136952,89
343,114,84,145,-5553.2837171613455,90
196,60,64,72,-5442.862574997684,92
261,82,65,114,-5249.828624354003,92
645,206,174,265,-5405.784745399379,87
170,60,45,65,-5482.934134024863,53
244,79,67,98,-5134.819902976761,87
362,109,101,152,-5328.542909118959,81
621,191,146,284,-5235.211410099394,85
473,166,106,201,-5243.472257651649,95
239,74,67,98,-5454.084049820014,90
261,80,61,120,-5121.688174775739,90
400,109,105,186,-5018.8169338284115,92
368,116,81,171,-5372.47190331643,86
749,251,159,339,-5015.147331636523,73
461,160,106,195,-5293.038423300243,88
860,284,204,372,-5229.901244304768,82
282,78,56,148,-5000.6442595021135,100
500,147,76,277,-5259.812918074053,95
316,104,75,137,-5181.709796582033,92
253,77,54,122,-5028.133213016705,100
490,158,104,228,-5258.746753575776,90
443,129,80,234,-5143.728575908575,89
377,131,72,174,-5142.626498632118,90
463,146,87,230,-5519.042501183564,76
569,189,91,289,-5709.384543605737,90
431,128,72,231,-5169.794269338362,90
856,277,175,404,-5026.847727744,100
229,63,50,116,-5021.076850361835,62
480,165,80,235,-5554.024886851624,81
363,111,58,194,-5047.267317343493,95
626,188,119,319,-5102.145457643479,92
618,216,119,283,-5635.6491452110495,90
647,216,115,316,-5201.433957142348,89
681,242,117,322,-5202.682607268041,80
492,152,84,256,-5188.510844414811,90
853,267,140,446,-5243.399600389453,94
642,205,95,342,-5018.4426930578875,89
388,129,72,187,-5670.964329442648,62
350,118,55,177,-5447.865990887144,58
876,272,151,453,-5006.010292827353,100
1200,378,185,637,-5339.360514951403,95
375,115,67,193,-5454.95098685383,80
495,148,102,245,-5317.473665548284,90
338,91,67,180,-5302.544294504833,87
590,184,114,292,-5333.066291973629,86
419,121,82,216,-5399.088161941906,84
541,146,96,299,-5347.010089747084,90
309,95,66,148,-5569.232687278293,91
293,84,50,159,-5465.9342994313965,87
805,248,130,427,-5447.742791698228,62
608,194,96,318,-5365.235654449106,95
412,118,72,222,-5516.28452432439,84
1120,326,188,606,-5003.012659065091,89
780,238,129,413,-5224.500576221319,95
638,187,83,368,-5609.077701244055,80
669,180,88,401,-5042.173579765478,81
483,91,31,361,-5027.716063704656,95
364,54,31,279,-5204.004183937864,79
518,100,44,374,-5025.673039208165,90
509,105,46,358,-5657.414984030406,92
741,156,72,513,-5210.753044388544,90
556,139,72,345,-5648.469033574259,88
478,105,49,324,-5237.808887111724,95
342,83,47,212,-5479.279187883446,86
475,102,47,326,-5249.32682871714,85
504,110,50,344,-5183.859451713825,92
636,146,66,424,-5227.976183232606,95
1036,286,130,620,-5460.317656076079,83
495,121,54,320,-5520.456577280862,87
398,92,35,271,-5599.302623044278,92
455,89,33,333,-5441.999194048502,81
564,107,26,431,-5401.197848648623,90
513,116,40,357,-5231.417928014481,87
420,79,26,315,-5025.795412051007,95
815,202,62,551,-5017.649197604449,96
657,156,65,436,-5424.250960926705,89
383,69,44,270,-5269.385479014603,87
393,67,31,295,-5154.215217683584,84
565,124,38,403,-5163.864547553267,95
725,182,68,475,-5284.286364370034,90
519,127,29,363,-5167.1445239665245,95
629,133,41,455,-5254.066680726892,95
521,120,45,356,-5074.410079908507,95
441,92,27,322,-5203.091694818063,87
525,128,46,351,-5254.052640236782,95
662,131,29,502,-5577.018953371643,83
575,149,34,392,-5029.632556262335,94
593,129,41,423,-5381.260166452189,94
631,139,40,452,-5147.688408908032,95
656,141,34,481,-5508.859511194631,95
499,105,34,360,-5252.818184987191,95
667,166,56,445,-5670.198403139721,90
606,135,32,439,-5086.472613884612,95
415,79,20,316,-5357.474156510233,95
534,121,33,380,-5410.946310845286,90
620,192,65,363,-5180.916685889209,85
744,249,59,436,-5049.09663914599,94
739,198,73,468,-5114.763448019627,83
770,239,43,488,-5101.466749938134,91
1296,401,94,801,-5140.827157471932,87
725,243,64,418,-5009.034561926516,97
1092,389,119,584,-5001.2985299072125,95
696,172,35,489,-5616.160685568401,89
555,136,37,382,-5249.101327303984,79
839,240,61,538,-5249.627996017823,87
588,154,41,393,-5141.446124744418,95
887,243,40,604,-5059.5665021423,95
834,214,70,550,-5256.93160867167,79
1297,355,81,861,-5249.184885799139,95
645,168,37,440,-5592.547590081399,88
692,182,45,465,-5638.80335499348,89
823,257,53,513,-5422.012152953362,92
724,213,71,440,-5493.306829259538,83
622,184,55,383,-5034.204794286441,95
428,80,24,324,-5151.836738696251,92
398,67,19,312,-5221.445289944096,95
433,71,26,336,-5189.759134846213,89
618,146,50,422,-5127.547852452175,89
339,38,12,289,-5649.158731171609,95
708,175,59,474,-5089.321838870236,89
765,170,56,539,-5655.774800631534,95
474,103,16,355,-5007.323441737421,100
690,186,41,463,-5136.723861910961,95
577,127,31,419,-5305.408547344949,71
589,150,44,395,-5529.826394373139,89
420,60,13,347,-5019.922326846758,97
891,220,57,614,-5191.485654199402,95
709,172,66,471,-5553.836059972187,82
608,145,35,428,-5081.257629124847,91
654,131,39,484,-5133.514346048007,95
765,179,40,546,-5595.05720422714,87
635,161,41,433,-5356.330960249646,85
415,71,26,318,-5740.908329462507,95
611,156,26,429,-5024.189855860257,86
363,55,18,290,-5547.974313881175,95
879,253,59,567,-5354.132001081015,95
858,221,54,583,-5418.442708706247,95
506,131,24,351,-5541.743666096669,79
711,196,33,482,-5207.543447463929,81
1678,624,115,939,-5116.467702585483,95
1142,382,57,703,-5063.690964096427,86
2513,958,150,1405,-5042.089118195331,81
3307,1250,105,1952,-5016.609540305743,64
4047,1573,91,2383,-5000.623379611522,100
3631,1382,134,2115,-5034.333940296341,100
7811,3153,195,4463,-5000.721042774029,100
526,72,3,451,-5012.590829826616,100
869,220,15,634,-5705.980199081176,95
843,215,16,612,-5394.066683124749,95
601,128,12,461,-5113.8970545241355,92
832,216,15,601,-5451.882754342939,94
1104,359,35,710,-5402.801126945049,92
1531,508,17,1006,-5030.4262216372135,100
467,40,2,425,-5019.869937863089,100
577,73,2,502,-5018.1877167489865,100
664,119,0,545,-5020.294835717333,100
525,62,0,463,-5010.857817937434,100
505,56,2,447,-5006.968707913945,100
438,26,0,412,-5026.642626423363,100
457,34,0,423,-5016.525866127456,100
480,40,3,437,-5032.332506393908,100
525,64,2,459,-5024.815573614345,100
561,85,3,473,-5016.789960607098,100
6264,2509,97,3658,-5031.98859356805,75
11983,5004,392,6587,-5496.739180820108,74
21567,9065,583,11919,-5260.112145250039,89
9694,3867,137,5690,-5013.791384898996,100
11868,4577,91,7200,-5020.388865786432,100
2971,1075,14,1882,-5021.2668675982395,100
1857,621,8,1228,-5410.489746066007,92
1070,289,4,777,-5297.634887472953,95
841,202,3,636,-5010.103260658226,100
543,70,0,473,-5002.256230753653,100
499,65,2,432,-5011.122907783399,100
1533,475,0,1058,-5010.151801309173,100
1632,519,3,1110,-5000.944027285484,100
775,161,1,613,-5002.041164567065,100
608,96,0,512,-5024.046675040553,100
522,74,2,446,-5015.687163715085,97
4213,1602,84,2527,-5616.220345230981,89
26835,11035,336,15464,-5020.116306785104,100
29200,12313,717,16170,2680.9837044595956,100
29200,11531,197,17472,-3145.175656205456,100
11368,4418,54,6896,-5086.373783876977,95
14678,5812,57,8809,-5002.560760854287,100
21953,8539,36,13378,-5026.7187032972215,100
16284,6324,13,9947,-5011.035071050654,100
17615,7059,203,10353,-5019.843178005389,100
10989,4384,98,6507,-5009.266056502763,100
19397,7850,239,11308,-5368.940400500615,89
