days_alive,work_days,spec_days,rest_days,final_cash
18142,5970,6085,6087,-111628747.59981176
7712,2512,2370,2830,73523.45889401436
408,255,54,99,25917.035728748764
250,175,30,45,23735.23800912117
164,128,17,19,17102.291280252382
175,141,11,23,22680.755057393057
155,130,8,17,23670.28243149401
165,138,5,22,26600.992228613017
125,110,8,7,20383.092705253992
139,122,5,12,21309.40827931309
119,106,8,5,19976.748051177387
135,120,2,13,22014.561833115677
140,115,12,13,22932.461204297273
143,117,14,12,20527.40764483643
139,121,6,12,22931.325712106405
145,126,5,14,25355.7356617552
156,134,4,18,22051.156242971156
130,115,6,9,21091.045277049798
152,128,8,16,22240.688999651695
157,128,12,17,20637.065688970244
149,126,8,15,22028.96131321946
146,124,8,14,23026.444741402975
137,119,6,12,20314.14659927249
125,111,7,7,19982.015168532642
143,122,7,14,22330.874355684227
152,124,12,16,20229.55443968877
126,114,4,8,21197.452211727075
140,121,7,12,18585.333149364014
125,109,8,8,20297.241735450072
152,124,13,15,19519.693761342718
159,131,10,18,25998.014935348172
120,106,8,6,18779.59354957046
124,112,5,7,19084.13657343145
137,118,8,11,23629.482140185628
142,113,18,11,22138.890551407647
147,128,4,15,21427.02450053606
141,124,4,13,23430.08259259466
193,147,17,29,22698.495934499173
147,123,10,14,25156.31747008369
149,123,11,15,22036.776202583987
145,122,9,14,22129.548722931264
164,136,8,20,23071.62911571213
159,132,9,18,23166.91841432547
134,112,13,9,20705.743412382493
152,129,7,16,23054.413421375797
141,116,13,12,19921.166027212526
146,119,14,13,24353.088927533576
151,130,5,16,23355.60799534281
155,130,8,17,20027.732479370738
181,144,12,25,22296.640029779937
195,156,9,30,25658.51430891572
228,172,16,40,28448.19380920377
152,124,13,15,21957.782076207965
200,152,17,31,26879.562315243747
202,157,12,33,24861.855482299867
169,136,12,21,21466.314004824202
177,138,16,23,23701.77974302591
163,137,6,20,19730.126592687935
213,163,14,36,24066.18333772839
200,150,20,30,24522.760584047326
183,143,15,25,24919.30982128682
170,133,15,22,16633.17681635454
225,171,15,39,30233.49374082744
173,133,18,22,16935.345417295215
179,147,6,26,25611.927765920136
201,159,10,32,24039.50926857809
239,180,15,44,25129.502815105196
176,143,9,24,21869.280572304127
180,141,14,25,20606.357391270387
221,169,14,38,27114.250282539033
178,142,12,24,23314.074228210888
163,133,11,19,21849.583453821488
192,148,16,28,18670.106760139184
154,132,4,18,23054.6672030777
172,134,17,21,22577.725859941627
139,121,6,12,22938.49251455341
165,136,9,20,22365.731909462513
143,123,7,13,24849.941636197185
210,160,16,34,23537.87245348939
184,143,15,26,21292.046737526936
235,181,10,44,25106.819122446082
167,134,13,20,19346.424409499952
165,135,10,20,21563.964349334965
220,169,12,39,26082.58256875653
133,115,7,11,20399.15226095018
158,128,13,17,22361.475815131223
142,124,5,13,22729.64542751087
133,118,5,10,22101.31776377142
199,156,12,31,25951.71788168206
140,120,8,12,21420.721212996155
191,152,9,30,22796.645237092223
178,146,6,26,25517.977974580263
149,131,2,16,24353.83087768163
148,122,12,14,20029.030600422862
135,121,3,11,22615.66553286048
123,112,4,7,19776.90194169562
111,105,3,3,20976.81672693958
121,110,5,6,21293.596448082877
106,100,5,1,19050.345538545665
109,101,6,2,17257.479191825332
122,113,2,7,22499.428453559565
111,106,1,4,20066.737096859244
124,111,6,7,19480.15066094246
104,101,2,1,18857.120908641664
110,106,1,3,20061.987813203712
124,116,0,8,21796.26760402756
126,115,2,9,21496.920987979865
130,115,6,9,24728.829217952276
107,103,2,2,19055.290932643242
134,116,8,10,22212.802583815654
134,114,10,10,23027.428207856694
127,110,9,8,22102.943370316898
133,118,5,10,22120.559211311127
