days_alive,work_days,spec_days,rest_days,final_cash,final_happiness
174,65,58,51,-5556.435301255756,89.0
119,36,39,44,-5206.498884900503,58.0
335,104,122,109,-5274.497894986003,95.0
315,101,113,101,-5042.4101084701315,95.0
157,55,44,58,-5074.0286909773195,94.0
120,36,42,42,-5018.960354137615,97.0
169,53,46,70,-5234.692667858708,95.0
279,85,102,92,-5506.706976089564,95.0
232,92,70,70,-5073.760812733287,56.0
200,74,64,62,-5019.311824380985,84.0
316,105,95,116,-5227.635362904049,90.0
139,42,39,58,-5007.3855315035935,93.0
221,73,70,78,-5004.5412561384155,95.0
145,46,38,61,-5534.256536671082,67.0
196,63,63,70,-5053.224861424306,95.0
250,78,87,85,-5447.811857751978,95.0
206,67,61,78,-5307.466772177444,87.0
158,46,48,64,-5239.912498428116,86.0
191,58,53,80,-5352.0647063589195,90.0
217,76,59,82,-5082.377799905032,95.0
191,65,62,64,-5047.75017027168,95.0
195,59,66,70,-5126.556810987084,86.0
171,64,54,53,-5003.991630813114,76.0
124,32,53,39,-5023.06946335265,95.0
187,54,70,63,-5358.600051676851,95.0
188,57,63,68,-5019.40830936525,100.0
289,100,101,88,-5378.283593384199,80.0
193,60,63,70,-5172.686916982358,87.0
153,47,52,54,-5149.95689484155,84.0
171,54,51,66,-5105.532691238877,75.0
140,44,53,43,-5078.214872155182,78.0
128,38,50,40,-5052.744426986346,87.0
278,101,84,93,-5652.009912243949,80.0
289,87,96,106,-5531.502076406675,76.0
199,56,73,70,-5761.7156135364385,82.0
169,58,64,47,-5277.176927040547,53.0
184,56,66,62,-5704.876425717668,84.0
297,94,99,104,-5148.338371245696,89.0
352,110,114,128,-5200.836271676076,92.0
163,58,61,44,-5155.226115687027,89.0
225,80,61,84,-5468.528209270936,77.0
111,31,39,41,-5125.289622251774,95.0
201,67,69,65,-5646.418811039144,76.0
165,52,53,60,-5098.156096517757,83.0
233,75,81,77,-5067.064820030867,95.0
154,60,37,57,-5391.004911711779,61.0
75,26,32,17,-5020.73289681306,32.0
166,63,56,47,-5003.542081135083,85.0
350,133,93,124,-5031.94736686731,100.0
147,41,57,49,-5175.23376404199,79.0
269,79,75,115,-5768.858694254321,94.0
194,66,66,62,-5467.01426994701,75.0
175,59,53,63,-5213.407023458185,95.0
156,50,51,55,-5587.2476408754555,95.0
172,54,53,65,-5428.248914867191,92.0
303,102,93,108,-5539.170083480123,68.0
198,68,47,83,-5562.730169908782,67.0
294,94,108,92,-5206.114639024912,67.0
312,109,106,97,-5097.3870899971025,84.0
203,68,60,75,-5506.414069268216,91.0
180,59,54,67,-5132.077794552181,84.0
166,48,49,69,-5130.887987143902,85.0
209,67,81,61,-5086.978465370574,90.0
187,62,64,61,-5161.6389423339015,84.0
214,71,62,81,-5065.893914911994,100.0
178,53,55,70,-5020.519038523866,100.0
247,73,81,93,-5233.388230017641,95.0
120,33,40,47,-5139.951740702004,95.0
196,84,49,63,-5170.844793867979,95.0
85,20,34,31,-5426.107547559536,95.0
210,69,63,78,-5526.130861303573,71.0
328,105,106,117,-5519.967152646316,95.0
179,70,54,55,-5085.465633606436,93.0
233,84,74,75,-5191.6258907983,62.0
277,99,90,88,-5056.301291648017,53.0
206,76,54,76,-5466.0685197493995,95.0
261,86,92,83,-5526.197944224564,95.0
286,94,92,100,-5477.4095226143045,76.0
256,78,84,94,-5116.2450963248275,92.0
160,65,45,50,-5007.207218601752,94.0
245,93,76,76,-5527.148112874881,86.0
158,51,49,58,-5443.513041207811,77.0
158,54,56,48,-5199.013599472807,89.0
232,80,60,92,-5379.074797812228,95.0
304,99,87,118,-5241.220305532579,86.0
220,78,64,78,-5070.892156846695,95.0
272,101,82,89,-5037.079207853596,100.0
328,112,103,113,-5033.612302533537,90.0
203,66,63,74,-5329.458350643229,95.0
160,43,58,59,-5520.653368324122,95.0
173,61,52,60,-5318.23861928348,90.0
187,88,49,50,-5329.724318982335,78.0
221,70,63,88,-5137.566462968402,94.0
260,96,66,98,-5337.043390353852,83.0
270,92,73,105,-5486.9243540831985,84.0
167,51,57,59,-5737.236072134922,90.0
174,56,58,60,-5273.708721143258,94.0
179,71,48,60,-5649.297127738968,92.0
214,75,63,76,-5219.749688194929,92.0
190,54,71,65,-5140.793287683308,95.0
165,60,49,56,-5060.038566494146,92.0
